id_cliente,nombre,correo,pais
CLI-00104,Camila Alvarez,camila.alvarez104@correo.com,Argentina
CLI-00105,Ileana López,ileana.lopez105@correo.com,Argentina
CLI-00106,Valeria López,valeria.lopez106@correo.com,Canadá
CLI-00107,Ana López,ana.lopez107@correo.com,Chile
CLI-00108,Luis Ortiz,luis.ortiz108@correo.com,Guatemala
CLI-00109,Andrés Vargas,andres.vargas109@correo.com,Chile
CLI-00110,Lucía Mérida,lucia.merida110@correo.com,Argentina
CLI-00111,Sebastian García,sebastian.garcia111@correo.com,Canadá
CLI-00112,Lucía Romero,lucia.romero112@correo.com,Panamá
CLI-00113,Luis Ramírez,luis.ramirez113@correo.com,Argentina
CLI-00114,Sofía Castillo,sofia.castillo114@correo.com,Argentina
CLI-00115,María Sánchez,maria.sanchez115@correo.com,Panamá
CLI-00116,Luis Castillo,luis.castillo116@correo.com,Argentina
CLI-00117,Carlos Rojas,carlos.rojas117@correo.com,Panamá
CLI-00118,Miguel García,miguel.garcia118@correo.com,Chile
CLI-00119,María Silva,maria.silva119@correo.com,Panamá
CLI-00120,Diego Morales,diego.morales120@correo.com,Panamá
CLI-00121,Lucía García,lucia.garcia121@correo.com,Panamá
CLI-00122,Juan Ortiz,juan.ortiz122@correo.com,Perú
CLI-00123,Ileana López,ileana.lopez123@correo.com,Chile
CLI-00124,Valeria Pérez,valeria.perez124@correo.com,Chile
CLI-00125,Eduardo Cruz,eduardo.cruz125@correo.com,Costa Rica
CLI-00126,Juan Torres,juan.torres126@correo.com,México
CLI-00127,Juan Torres,juan.torres127@correo.com,Panamá
CLI-00128,Camila Romero,camila.romero128@correo.com,Colombia
CLI-00129,Natalia Díaz,natalia.diaz129@correo.com,Guatemala
CLI-00130,Valeria Díaz,valeria.diaz130@correo.com,Chile
CLI-00131,Miguel Pérez,miguel.perez131@correo.com,Perú
CLI-00132,María Silva,maria.silva132@correo.com,Colombia
CLI-00133,Ricardo Cruz,ricardo.cruz133@correo.com,México
CLI-00134,Carlos Cruz,carlos.cruz134@correo.com,Chile
CLI-00135,Juan Flores,juan.flores135@correo.com,Costa Rica
CLI-00136,Paola García,paola.garcia136@correo.com,Honduras
CLI-00137,Camila Silva,camila.silva137@correo.com,Perú
CLI-00138,Luis Vargas,luis.vargas138@correo.com,Chile
CLI-00139,Sebastian Cruz,sebastian.cruz139@correo.com,Guatemala
CLI-00140,Natalia López,natalia.lopez140@correo.com,Honduras
CLI-00141,Paola Cruz,paola.cruz141@correo.com,México
CLI-00142,Eduardo Torres,eduardo.torres142@correo.com,Guatemala
CLI-00143,Eduardo Gómez,eduardo.gomez143@correo.com,Chile
CLI-00144,Ileana Morales,ileana.morales144@correo.com,Canadá
CLI-00145,Juan Gómez,juan.gomez145@correo.com,Guatemala
CLI-00146,Andrés Morales,andres.morales146@correo.com,Argentina
CLI-00147,Paola Díaz,paola.diaz147@correo.com,Perú
CLI-00148,Ileana Vargas,ileana.vargas148@correo.com,Costa Rica
CLI-00149,Paola Morales,paola.morales149@correo.com,Perú
CLI-00150,Sebastian Alvarez,sebastian.alvarez150@correo.com,Panamá
CLI-00151,Natalia Rojas,natalia.rojas151@correo.com,Costa Rica
CLI-00152,Eduardo Morales,eduardo.morales152@correo.com,México
CLI-00153,Eduardo Ramírez,eduardo.ramirez153@correo.com,Chile
CLI-00154,Diego Rojas,diego.rojas154@correo.com,Colombia
CLI-00155,Sofía López,sofia.lopez155@correo.com,Chile
CLI-00156,Luis Alvarez,luis.alvarez156@correo.com,Argentina
CLI-00157,Jorge Torres,jorge.torres157@correo.com,Panamá
CLI-00158,Carlos Sánchez,carlos.sanchez158@correo.com,Perú
CLI-00159,Natalia Rojas,natalia.rojas159@correo.com,Costa Rica
CLI-00160,Andrés Mérida,andres.merida160@correo.com,Costa Rica
CLI-00161,María Torres,maria.torres161@correo.com,Perú
CLI-00162,Sebastian Gómez,sebastian.gomez162@correo.com,Honduras
CLI-00163,Ricardo Gómez,ricardo.gomez163@correo.com,Argentina
CLI-00164,Luis García,luis.garcia164@correo.com,Canadá
CLI-00165,Luis Alvarez,luis.alvarez165@correo.com,Colombia
CLI-00166,Diego Alvarez,diego.alvarez166@correo.com,Argentina
CLI-00167,María Díaz,maria.diaz167@correo.com,Colombia
CLI-00168,Ileana Rojas,ileana.rojas168@correo.com,Panamá
CLI-00169,Andrés Flores,andres.flores169@correo.com,Perú
CLI-00170,María Torres,maria.torres170@correo.com,Colombia
CLI-00171,Lucía Romero,lucia.romero171@correo.com,Argentina
CLI-00172,Fernanda Romero,fernanda.romero172@correo.com,México
CLI-00173,Camila Castillo,camila.castillo173@correo.com,Canadá
CLI-00174,Lucía Rojas,lucia.rojas174@correo.com,Costa Rica
CLI-00175,Sofía Morales,sofia.morales175@correo.com,Perú
CLI-00176,Luis Vargas,luis.vargas176@correo.com,Honduras
CLI-00177,Sofía Morales,sofia.morales177@correo.com,Chile
CLI-00178,Diego Flores,diego.flores178@correo.com,Guatemala
CLI-00179,Valeria Ortiz,valeria.ortiz179@correo.com,Perú
CLI-00180,Miguel Ramírez,miguel.ramirez180@correo.com,Argentina
CLI-00181,Lucía Flores,lucia.flores181@correo.com,Panamá
CLI-00182,Ricardo Morales,ricardo.morales182@correo.com,Costa Rica
CLI-00183,Paola Gómez,paola.gomez183@correo.com,Honduras
CLI-00184,Luis García,luis.garcia184@correo.com,Panamá
CLI-00185,Paola López,paola.lopez185@correo.com,Guatemala
CLI-00186,Juan García,juan.garcia186@correo.com,Colombia
CLI-00187,Luis García,luis.garcia187@correo.com,Guatemala
CLI-00188,Sofía Romero,sofia.romero188@correo.com,Argentina
CLI-00189,Andrés Vargas,andres.vargas189@correo.com,Perú
CLI-00190,Ana Alvarez,ana.alvarez190@correo.com,Colombia
CLI-00191,Luis García,luis.garcia191@correo.com,Honduras
CLI-00192,Fernanda Ramírez,fernanda.ramirez192@correo.com,Colombia
CLI-00193,Diego Silva,diego.silva193@correo.com,Colombia
CLI-00194,Ricardo López,ricardo.lopez194@correo.com,Canadá
CLI-00195,Sebastian García,sebastian.garcia195@correo.com,Chile
CLI-00196,Sebastian Ortiz,sebastian.ortiz196@correo.com,Guatemala
CLI-00197,Natalia Castillo,natalia.castillo197@correo.com,Honduras
CLI-00198,Carlos Ramírez,carlos.ramirez198@correo.com,Panamá
CLI-00199,Camila Castillo,camila.castillo199@correo.com,Panamá
CLI-00200,Eduardo Sánchez,eduardo.sanchez200@correo.com,Honduras
CLI-00201,Diego Sánchez,diego.sanchez201@correo.com,Perú
CLI-00202,Luis Vargas,luis.vargas202@correo.com,Panamá
CLI-00203,Miguel Torres,miguel.torres203@correo.com,Perú
CLI-00204,Ricardo Rojas,ricardo.rojas204@correo.com,Chile
CLI-00205,Camila López,camila.lopez205@correo.com,Chile
CLI-00206,Ana Gómez,ana.gomez206@correo.com,Canadá
CLI-00207,Valeria Silva,valeria.silva207@correo.com,México
CLI-00208,María Gómez,maria.gomez208@correo.com,México
CLI-00209,Luis Sánchez,luis.sanchez209@correo.com,Honduras
CLI-00210,Lucía Flores,lucia.flores210@correo.com,México
CLI-00211,Carlos Sánchez,carlos.sanchez211@correo.com,Colombia
CLI-00212,Ricardo Díaz,ricardo.diaz212@correo.com,Canadá
CLI-00213,Andrés Ortiz,andres.ortiz213@correo.com,Perú
CLI-00214,Ricardo Díaz,ricardo.diaz214@correo.com,Canadá
CLI-00215,Sebastian Vargas,sebastian.vargas215@correo.com,Honduras
CLI-00216,Ana Ramírez,ana.ramirez216@correo.com,Colombia
CLI-00217,Miguel Silva,miguel.silva217@correo.com,Costa Rica
CLI-00218,Ileana Díaz,ileana.diaz218@correo.com,Guatemala
CLI-00219,Eduardo Rojas,eduardo.rojas219@correo.com,Guatemala
CLI-00220,Sebastian Ortiz,sebastian.ortiz220@correo.com,Colombia
CLI-00221,Natalia García,natalia.garcia221@correo.com,México
CLI-00222,Carlos Alvarez,carlos.alvarez222@correo.com,Argentina
CLI-00223,Carlos Pérez,carlos.perez223@correo.com,México
CLI-00224,Camila Pérez,camila.perez224@correo.com,Colombia
CLI-00225,Carlos López,carlos.lopez225@correo.com,Colombia
CLI-00226,Sebastian Silva,sebastian.silva226@correo.com,Argentina
CLI-00227,Natalia Gómez,natalia.gomez227@correo.com,Perú
CLI-00228,Valeria Pérez,valeria.perez228@correo.com,Chile
CLI-00229,Carlos Ramírez,carlos.ramirez229@correo.com,Costa Rica
CLI-00230,Eduardo Romero,eduardo.romero230@correo.com,Honduras
CLI-00231,Diego Ramírez,diego.ramirez231@correo.com,Guatemala
CLI-00232,Sofía Silva,sofia.silva232@correo.com,Panamá
CLI-00233,Valeria Morales,valeria.morales233@correo.com,México
CLI-00234,Jorge Mendoza,jorge.mendoza234@correo.com,México
CLI-00235,Lucía Castillo,lucia.castillo235@correo.com,Panamá
CLI-00236,María Gómez,maria.gomez236@correo.com,Honduras
CLI-00237,Camila Vargas,camila.vargas237@correo.com,Costa Rica
CLI-00238,Paola Gómez,paola.gomez238@correo.com,Colombia
CLI-00239,Luis Sánchez,luis.sanchez239@correo.com,Guatemala
CLI-00240,Luis Castillo,luis.castillo240@correo.com,Costa Rica
CLI-00241,Ricardo Romero,ricardo.romero241@correo.com,Argentina
CLI-00242,Paola Pérez,paola.perez242@correo.com,Panamá
CLI-00243,Andrés Castillo,andres.castillo243@correo.com,Guatemala
CLI-00244,Miguel García,miguel.garcia244@correo.com,Argentina
CLI-00245,Lucía Sánchez,lucia.sanchez245@correo.com,Chile
CLI-00246,Valeria Torres,valeria.torres246@correo.com,Colombia
CLI-00247,Sofía López,sofia.lopez247@correo.com,Costa Rica
CLI-00248,Ileana Pérez,ileana.perez248@correo.com,Honduras
CLI-00249,Jorge Vargas,jorge.vargas249@correo.com,Costa Rica
CLI-00250,Juan Díaz,juan.diaz250@correo.com,Panamá
CLI-00251,Valeria Pérez,valeria.perez251@correo.com,Panamá
CLI-00252,María Castillo,maria.castillo252@correo.com,Panamá
CLI-00253,Ileana Díaz,ileana.diaz253@correo.com,Honduras
CLI-00254,Valeria Romero,valeria.romero254@correo.com,Canadá
CLI-00255,Camila Flores,camila.flores255@correo.com,Honduras
CLI-00256,Valeria Sánchez,valeria.sanchez256@correo.com,Panamá
CLI-00257,María Silva,maria.silva257@correo.com,Colombia
CLI-00258,Juan Alvarez,juan.alvarez258@correo.com,Guatemala
CLI-00259,Juan Mérida,juan.merida259@correo.com,México
CLI-00260,Valeria Romero,valeria.romero260@correo.com,Argentina
CLI-00261,Sofía Rojas,sofia.rojas261@correo.com,México
CLI-00262,Valeria Mérida,valeria.merida262@correo.com,Costa Rica
CLI-00263,Jorge Sánchez,jorge.sanchez263@correo.com,Honduras
CLI-00264,Sofía Rojas,sofia.rojas264@correo.com,México
CLI-00265,Carlos Ortiz,carlos.ortiz265@correo.com,Honduras
CLI-00266,Eduardo Mendoza,eduardo.mendoza266@correo.com,Panamá
CLI-00267,Paola Castillo,paola.castillo267@correo.com,Chile
CLI-00268,Ana García,ana.garcia268@correo.com,Honduras
CLI-00269,Camila Vargas,camila.vargas269@correo.com,Perú
CLI-00270,Luis Pérez,luis.perez270@correo.com,Costa Rica
CLI-00271,Luis Sánchez,luis.sanchez271@correo.com,México
CLI-00272,Luis Díaz,luis.diaz272@correo.com,Guatemala
CLI-00273,Diego Sánchez,diego.sanchez273@correo.com,México
CLI-00274,Valeria Cruz,valeria.cruz274@correo.com,Guatemala
CLI-00275,Diego Castillo,diego.castillo275@correo.com,Perú
CLI-00276,Ileana Mendoza,ileana.mendoza276@correo.com,Guatemala
CLI-00277,Eduardo Cruz,eduardo.cruz277@correo.com,Guatemala
CLI-00278,Ricardo Alvarez,ricardo.alvarez278@correo.com,Costa Rica
CLI-00279,Fernanda Díaz,fernanda.diaz279@correo.com,Colombia
CLI-00280,Juan Castillo,juan.castillo280@correo.com,Chile
CLI-00281,Fernanda Silva,fernanda.silva281@correo.com,Guatemala
CLI-00282,Sofía Silva,sofia.silva282@correo.com,Argentina
CLI-00283,Luis Silva,luis.silva283@correo.com,Perú
CLI-00284,Sofía López,sofia.lopez284@correo.com,Guatemala
CLI-00285,Miguel Castillo,miguel.castillo285@correo.com,Argentina
CLI-00286,Ana Rojas,ana.rojas286@correo.com,Perú
CLI-00287,Miguel Silva,miguel.silva287@correo.com,México
CLI-00288,Juan Rojas,juan.rojas288@correo.com,Canadá
CLI-00289,Juan Gómez,juan.gomez289@correo.com,Argentina
CLI-00290,Fernanda Silva,fernanda.silva290@correo.com,Colombia
CLI-00291,María Gómez,maria.gomez291@correo.com,Costa Rica
CLI-00292,Ricardo Pérez,ricardo.perez292@correo.com,México
CLI-00293,Carlos Torres,carlos.torres293@correo.com,México
CLI-00294,Diego Díaz,diego.diaz294@correo.com,Canadá
CLI-00295,Luis Mendoza,luis.mendoza295@correo.com,Colombia
CLI-00296,Carlos Ramírez,carlos.ramirez296@correo.com,Perú
CLI-00297,Lucía Pérez,lucia.perez297@correo.com,Costa Rica
CLI-00298,María Romero,maria.romero298@correo.com,México
CLI-00299,Eduardo Ortiz,eduardo.ortiz299@correo.com,México
CLI-00300,Ileana Cruz,ileana.cruz300@correo.com,Guatemala
CLI-00301,Luis Díaz,luis.diaz301@correo.com,Panamá
CLI-00302,Luis Morales,luis.morales302@correo.com,Perú
CLI-00303,Fernanda Ramírez,fernanda.ramirez303@correo.com,Colombia
CLI-00304,Lucía Gómez,lucia.gomez304@correo.com,Canadá
CLI-00305,Paola Alvarez,paola.alvarez305@correo.com,Argentina
CLI-00306,Natalia Rojas,natalia.rojas306@correo.com,Canadá
CLI-00307,María López,maria.lopez307@correo.com,Honduras
CLI-00308,Eduardo Mendoza,eduardo.mendoza308@correo.com,Canadá
CLI-00309,Sebastian López,sebastian.lopez309@correo.com,Costa Rica
CLI-00310,Juan Rojas,juan.rojas310@correo.com,Perú
CLI-00311,Carlos Mendoza,carlos.mendoza311@correo.com,Perú
CLI-00312,Sofía Mendoza,sofia.mendoza312@correo.com,Panamá
CLI-00313,Diego Romero,diego.romero313@correo.com,Panamá
CLI-00314,Miguel Mérida,miguel.merida314@correo.com,Chile
CLI-00315,Ana Mérida,ana.merida315@correo.com,México
CLI-00316,Valeria Ramírez,valeria.ramirez316@correo.com,Honduras
CLI-00317,Paola Cruz,paola.cruz317@correo.com,Argentina
CLI-00318,Carlos Mendoza,carlos.mendoza318@correo.com,México
CLI-00319,Eduardo Mérida,eduardo.merida319@correo.com,Costa Rica
CLI-00320,Eduardo Ortiz,eduardo.ortiz320@correo.com,Honduras
CLI-00321,Juan Mendoza,juan.mendoza321@correo.com,Canadá
CLI-00322,Valeria Díaz,valeria.diaz322@correo.com,Honduras
CLI-00323,Jorge Rojas,jorge.rojas323@correo.com,Perú
CLI-00324,Diego Cruz,diego.cruz324@correo.com,Colombia
CLI-00325,Lucía Gómez,lucia.gomez325@correo.com,Perú
CLI-00326,Diego Vargas,diego.vargas326@correo.com,Guatemala
CLI-00327,Sofía Cruz,sofia.cruz327@correo.com,Costa Rica
CLI-00328,Jorge Vargas,jorge.vargas328@correo.com,Perú
CLI-00329,Ileana López,ileana.lopez329@correo.com,México
CLI-00330,Fernanda Vargas,fernanda.vargas330@correo.com,Costa Rica
CLI-00331,Sebastian García,sebastian.garcia331@correo.com,Costa Rica
CLI-00332,Lucía Cruz,lucia.cruz332@correo.com,México
CLI-00333,Juan Vargas,juan.vargas333@correo.com,México
CLI-00334,Miguel Romero,miguel.romero334@correo.com,Panamá
CLI-00335,María López,maria.lopez335@correo.com,Chile
CLI-00336,Carlos Silva,carlos.silva336@correo.com,Perú
CLI-00337,María Sánchez,maria.sanchez337@correo.com,Colombia
CLI-00338,Valeria Gómez,valeria.gomez338@correo.com,Argentina
CLI-00339,Ricardo Torres,ricardo.torres339@correo.com,Chile
CLI-00340,Ricardo Silva,ricardo.silva340@correo.com,Argentina
CLI-00341,Paola Ortiz,paola.ortiz341@correo.com,Colombia
CLI-00342,Carlos Pérez,carlos.perez342@correo.com,Perú
CLI-00343,Fernanda Sánchez,fernanda.sanchez343@correo.com,Chile
CLI-00344,Sofía Cruz,sofia.cruz344@correo.com,Colombia
CLI-00345,Juan López,juan.lopez345@correo.com,Colombia
CLI-00346,Carlos Gómez,carlos.gomez346@correo.com,Perú
CLI-00347,Andrés Romero,andres.romero347@correo.com,Argentina
CLI-00348,Andrés Pérez,andres.perez348@correo.com,Panamá
CLI-00349,Paola Díaz,paola.diaz349@correo.com,Canadá
CLI-00350,Sebastian Pérez,sebastian.perez350@correo.com,Argentina
CLI-00351,Fernanda Mendoza,fernanda.mendoza351@correo.com,Perú
CLI-00352,Valeria Vargas,valeria.vargas352@correo.com,Costa Rica
CLI-00353,Camila Ortiz,camila.ortiz353@correo.com,México
CLI-00354,Sofía Ramírez,sofia.ramirez354@correo.com,Guatemala
CLI-00355,Carlos Alvarez,carlos.alvarez355@correo.com,Costa Rica
CLI-00356,Carlos Mérida,carlos.merida356@correo.com,México
CLI-00357,Andrés Gómez,andres.gomez357@correo.com,Honduras
CLI-00358,Natalia Ortiz,natalia.ortiz358@correo.com,Colombia
CLI-00359,Eduardo Pérez,eduardo.perez359@correo.com,Argentina
CLI-00360,Fernanda Ortiz,fernanda.ortiz360@correo.com,Honduras
CLI-00361,Luis Alvarez,luis.alvarez361@correo.com,México
CLI-00362,Andrés Ortiz,andres.ortiz362@correo.com,Chile
CLI-00363,Juan Cruz,juan.cruz363@correo.com,Costa Rica
CLI-00364,Eduardo Alvarez,eduardo.alvarez364@correo.com,Panamá
CLI-00365,Miguel Vargas,miguel.vargas365@correo.com,Colombia
CLI-00366,Lucía Vargas,lucia.vargas366@correo.com,Perú
CLI-00367,Ricardo Díaz,ricardo.diaz367@correo.com,Argentina
CLI-00368,Ana Silva,ana.silva368@correo.com,México
CLI-00369,Ana Ramírez,ana.ramirez369@correo.com,Costa Rica
CLI-00370,Sofía Alvarez,sofia.alvarez370@correo.com,Colombia
CLI-00371,Lucía Silva,lucia.silva371@correo.com,Panamá
CLI-00372,Valeria López,valeria.lopez372@correo.com,Argentina
CLI-00373,Ricardo Vargas,ricardo.vargas373@correo.com,Colombia
CLI-00374,Miguel Vargas,miguel.vargas374@correo.com,Panamá
CLI-00375,Miguel Morales,miguel.morales375@correo.com,Chile
CLI-00376,Ana Cruz,ana.cruz376@correo.com,Honduras
CLI-00377,María Ramírez,maria.ramirez377@correo.com,Panamá
CLI-00378,Paola Sánchez,paola.sanchez378@correo.com,México
CLI-00379,Andrés Vargas,andres.vargas379@correo.com,Panamá
CLI-00380,Luis Castillo,luis.castillo380@correo.com,Canadá
CLI-00381,Jorge Rojas,jorge.rojas381@correo.com,Costa Rica
CLI-00382,Eduardo García,eduardo.garcia382@correo.com,México
CLI-00383,Andrés Ortiz,andres.ortiz383@correo.com,Costa Rica
CLI-00384,Andrés Silva,andres.silva384@correo.com,Guatemala
CLI-00385,Luis Cruz,luis.cruz385@correo.com,Chile
CLI-00386,Ileana Torres,ileana.torres386@correo.com,México
CLI-00387,Fernanda Ortiz,fernanda.ortiz387@correo.com,Chile
CLI-00388,Juan Vargas,juan.vargas388@correo.com,Canadá
CLI-00389,Camila Mérida,camila.merida389@correo.com,Panamá
CLI-00390,Andrés Morales,andres.morales390@correo.com,Guatemala
CLI-00391,Miguel Pérez,miguel.perez391@correo.com,Honduras
CLI-00392,Sebastian Gómez,sebastian.gomez392@correo.com,Honduras
CLI-00393,Paola Flores,paola.flores393@correo.com,Canadá
CLI-00394,Paola Flores,paola.flores394@correo.com,Colombia
CLI-00395,Camila Cruz,camila.cruz395@correo.com,Canadá
CLI-00396,Ana Cruz,ana.cruz396@correo.com,Perú
CLI-00397,Ricardo Mendoza,ricardo.mendoza397@correo.com,Perú
CLI-00398,María Pérez,maria.perez398@correo.com,Perú
CLI-00399,Ileana Romero,ileana.romero399@correo.com,Argentina
CLI-00400,Miguel Cruz,miguel.cruz400@correo.com,Perú
CLI-00401,María Alvarez,maria.alvarez401@correo.com,Panamá
CLI-00402,Ricardo Cruz,ricardo.cruz402@correo.com,Panamá
CLI-00403,Jorge López,jorge.lopez403@correo.com,México
CLI-00404,Juan Mendoza,juan.mendoza404@correo.com,Panamá
CLI-00405,María Mérida,maria.merida405@correo.com,Guatemala
CLI-00406,Ana Rojas,ana.rojas406@correo.com,Panamá
CLI-00407,Natalia Rojas,natalia.rojas407@correo.com,Guatemala
CLI-00408,Ana Torres,ana.torres408@correo.com,Panamá
CLI-00409,Paola Díaz,paola.diaz409@correo.com,Perú
CLI-00410,Diego Silva,diego.silva410@correo.com,Perú
CLI-00411,Luis Castillo,luis.castillo411@correo.com,Canadá
CLI-00412,Sofía Ortiz,sofia.ortiz412@correo.com,Honduras
CLI-00413,Carlos Cruz,carlos.cruz413@correo.com,Colombia
